Category,La Paz
Total_doses_administered,17082
Total_people_one_dose,9317
Total_people_complete,8465
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3077
Male-55-64 years,672
Male-45-54 years,298
Male-20-44 years,471
Male-Less than 20 years,106
Female-65 years and older,2977
Female-55-64 years,830
Female-45-54 years,336
Female-20-44 years,426
Female-Less than 20 years,110
"Black or African American, non-Hispanic",0.002575936460234
"Asian or Pacific Islander, non-Hispanic",0.0072984866373296
"American Indian or Alaska Native, non-Hispanic",0.0172802404207363
Hispanic or Latino,0.1007835140066545
Other Race,0.1133412042502952
Unknown,0.274337233014919
"White, non-Hispanic",0.4843833852098316
