Category,Maricopa
Total_doses_administered,6257982
Total_people_one_dose,2826699
Total_people_complete,2480199
total_pouluation,2826699
Male-65 years and older,298744
Male-55-64 years,197467
Male-45-54 years,193126
Male-20-44 years,466741
Male-Less than 20 years,176918
Female-65 years and older,372760
Female-55-64 years,221232
Female-45-54 years,208648
Female-20-44 years,498447
Female-Less than 20 years,178311
"American Indian or Alaska Native, non-Hispanic",55505
"Black or African American, non-Hispanic",111811
"Asian or Pacific Islander, non-Hispanic",144277
Unknown,191401
Other Race,444653
Hispanic or Latino,495732
"White, non-Hispanic",1383320
