Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,10735887,76245,213017,190410,42256,10221,60781,19080,6257982,202052,118021,536498,1728480,128851,282233,352012
Total_people_complete,4208991,29077,83020,75193,17025,4051,23905,7741,2480199,79979,46240,217518,665943,49708,109256,138993
total_pouluation,7189020,34180,94060,90960,19176,4505,27273,9317,2826699,94777,54762,248017,771843,65675,128748,172493
Total_people_one_dose,4949206,34180,94060,90960,19176,4505,27273,9317,2826699,94777,54762,248017,771843,65675,128748,172493
Male-65 years and older,591677,3096,8452,12032,1995,517,5982,2523,298744,21902,7732,39136,92277,4806,28503,18059
Male-55-64 years,343612,2291,6057,6021,1364,388,2264,654,197467,8573,3893,17480,50006,3542,10073,11245
Male-45-54 years,311695,1860,5785,4818,1316,337,1300,333,193126,4507,2960,15295,43903,3798,5510,9786
Male-20-44 years,785657,4610,17581,12977,3256,811,2578,716,466741,8036,6637,36846,118794,10016,11304,30513
Male-Less than 20 years,313958,4732,6906,7208,1296,247,930,415,176918,2085,5368,12718,52798,9341,3326,14969
Female-65 years and older,717764,3753,9460,14049,2473,524,6353,2494,372760,23910,8759,44596,118716,5865,34392,20624
Female-55-64 years,390215,2517,6736,7108,1508,317,2663,763,221232,9934,4407,20030,59530,3990,12693,12061
Female-45-54 years,335457,1916,5760,5411,1247,336,1448,388,208648,5044,3014,15574,49568,4207,6565,10710
Female-20-44 years,820760,4548,20059,13742,3296,773,2742,627,498447,8300,6541,33104,130786,10739,11477,28467
Female-Less than 20 years,318530,4846,7086,7491,1414,253,957,386,178311,2305,5413,12623,53829,9260,3672,15372
"Black or African American, non-Hispanic",152290,66,827,1704,83,55,96,42,111811,673,224,9205,17987,59,648,904
"Asian or Pacific Islander, non-Hispanic",190314,158,1727,1593,66,51,225,92,144277,1468,414,4945,23195,188,1661,1276
"American Indian or Alaska Native, non-Hispanic",221760,26944,24094,389,5825,127,2973,567,55505,790,25644,10575,16417,56,1547,1255
Unknown,445202,1220,11350,11014,3820,301,4547,1938,191401,11706,2584,30139,66494,6250,19037,30813
Other Race,691522,1237,8063,12725,864,98,4385,1211,444653,14848,6504,29535,94331,3672,19032,20860
Hispanic or Latino,965225,650,7646,28320,2854,2038,1589,1407,495732,7894,2806,42104,200103,47793,9244,79736
"White, non-Hispanic",2282893,3905,40353,35215,5664,1835,13458,4060,1383320,57398,16586,121514,353316,7657,77579,37649
