Category,Apache
Total_doses_administered,76245
Total_people_one_dose,34180
Total_people_complete,29077
total_pouluation,34180
Male-65 years and older,3096
Male-55-64 years,2291
Male-45-54 years,1860
Male-20-44 years,4610
Male-Less than 20 years,4732
Female-65 years and older,3753
Female-55-64 years,2517
Female-45-54 years,1916
Female-20-44 years,4548
Female-Less than 20 years,4846
"Black or African American, non-Hispanic",66
"Asian or Pacific Islander, non-Hispanic",158
Hispanic or Latino,650
Unknown,1220
Other Race,1237
"White, non-Hispanic",3905
"American Indian or Alaska Native, non-Hispanic",26944
