Category,La Paz
Total_doses_administered,19080
Total_people_one_dose,9317
Total_people_complete,7741
total_pouluation,9317
Male-65 years and older,2523
Male-55-64 years,654
Male-45-54 years,333
Male-20-44 years,716
Male-Less than 20 years,415
Female-65 years and older,2494
Female-55-64 years,763
Female-45-54 years,388
Female-20-44 years,627
Female-Less than 20 years,386
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",567
Other Race,1211
Hispanic or Latino,1407
Unknown,1938
"White, non-Hispanic",4060
