Category,Yuma
Total_doses_administered,352012
Total_people_one_dose,172493
Total_people_complete,138993
total_pouluation,172493
Male-65 years and older,18059
Male-55-64 years,11245
Male-45-54 years,9786
Male-20-44 years,30513
Male-Less than 20 years,14969
Female-65 years and older,20624
Female-55-64 years,12061
Female-45-54 years,10710
Female-20-44 years,28467
Female-Less than 20 years,15372
"Black or African American, non-Hispanic",904
"American Indian or Alaska Native, non-Hispanic",1255
"Asian or Pacific Islander, non-Hispanic",1276
Other Race,20860
Unknown,30813
"White, non-Hispanic",37649
Hispanic or Latino,79736
