Category,Graham
Total_doses_administered,42256
Total_people_one_dose,19176
Total_people_complete,17025
total_pouluation,19176
Male-65 years and older,1995
Male-55-64 years,1364
Male-45-54 years,1316
Male-20-44 years,3256
Male-Less than 20 years,1296
Female-65 years and older,2473
Female-55-64 years,1508
Female-45-54 years,1247
Female-20-44 years,3296
Female-Less than 20 years,1414
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,864
Hispanic or Latino,2854
Unknown,3820
"White, non-Hispanic",5664
"American Indian or Alaska Native, non-Hispanic",5825
