Category,Santa Cruz
Total_doses_administered,128851
Total_people_one_dose,65675
Total_people_complete,49708
total_pouluation,65675
Male-65 years and older,4806
Male-55-64 years,3542
Male-45-54 years,3798
Male-20-44 years,10016
Male-Less than 20 years,9341
Female-65 years and older,5865
Female-55-64 years,3990
Female-45-54 years,4207
Female-20-44 years,10739
Female-Less than 20 years,9260
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3672
Unknown,6250
"White, non-Hispanic",7657
Hispanic or Latino,47793
