Category,Yavapai
Total_doses_administered,282233
Total_people_one_dose,128748
Total_people_complete,109256
total_pouluation,128748
Male-65 years and older,28503
Male-55-64 years,10073
Male-45-54 years,5510
Male-20-44 years,11304
Male-Less than 20 years,3326
Female-65 years and older,34392
Female-55-64 years,12693
Female-45-54 years,6565
Female-20-44 years,11477
Female-Less than 20 years,3672
"Black or African American, non-Hispanic",648
"American Indian or Alaska Native, non-Hispanic",1547
"Asian or Pacific Islander, non-Hispanic",1661
Hispanic or Latino,9244
Other Race,19032
Unknown,19037
"White, non-Hispanic",77579
