Category,Mohave
Total_doses_administered,202052
Total_people_one_dose,94777
Total_people_complete,79979
total_pouluation,94777
Male-65 years and older,21902
Male-55-64 years,8573
Male-45-54 years,4507
Male-20-44 years,8036
Male-Less than 20 years,2085
Female-65 years and older,23910
Female-55-64 years,9934
Female-45-54 years,5044
Female-20-44 years,8300
Female-Less than 20 years,2305
"Black or African American, non-Hispanic",673
"American Indian or Alaska Native, non-Hispanic",790
"Asian or Pacific Islander, non-Hispanic",1468
Hispanic or Latino,7894
Unknown,11706
Other Race,14848
"White, non-Hispanic",57398
