Category,Coconino
Total_doses_administered,213017
Total_people_one_dose,94060
Total_people_complete,83020
total_pouluation,94060
Male-65 years and older,8452
Male-55-64 years,6057
Male-45-54 years,5785
Male-20-44 years,17581
Male-Less than 20 years,6906
Female-65 years and older,9460
Female-55-64 years,6736
Female-45-54 years,5760
Female-20-44 years,20059
Female-Less than 20 years,7086
"Black or African American, non-Hispanic",827
"Asian or Pacific Islander, non-Hispanic",1727
Hispanic or Latino,7646
Other Race,8063
Unknown,11350
"American Indian or Alaska Native, non-Hispanic",24094
"White, non-Hispanic",40353
