Category,Pinal
Total_doses_administered,536498
Total_people_one_dose,248017
Total_people_complete,217518
total_pouluation,248017
Male-65 years and older,39136
Male-55-64 years,17480
Male-45-54 years,15295
Male-20-44 years,36846
Male-Less than 20 years,12718
Female-65 years and older,44596
Female-55-64 years,20030
Female-45-54 years,15574
Female-20-44 years,33104
Female-Less than 20 years,12623
"Asian or Pacific Islander, non-Hispanic",4945
"Black or African American, non-Hispanic",9205
"American Indian or Alaska Native, non-Hispanic",10575
Other Race,29535
Unknown,30139
Hispanic or Latino,42104
"White, non-Hispanic",121514
