Category,Navajo
Total_doses_administered,118021
Total_people_one_dose,54762
Total_people_complete,46240
total_pouluation,54762
Male-65 years and older,7732
Male-55-64 years,3893
Male-45-54 years,2960
Male-20-44 years,6637
Male-Less than 20 years,5368
Female-65 years and older,8759
Female-55-64 years,4407
Female-45-54 years,3014
Female-20-44 years,6541
Female-Less than 20 years,5413
"Black or African American, non-Hispanic",224
"Asian or Pacific Islander, non-Hispanic",414
Unknown,2584
Hispanic or Latino,2806
Other Race,6504
"White, non-Hispanic",16586
"American Indian or Alaska Native, non-Hispanic",25644
