Category,Coconino
Total_doses_administered,161004
Total_people_one_dose,88288
Total_people_complete,79234
Total_doses_ordered,99988
total_pouluation,147275
Male-65 years and older,7984
Male-55-64 years,6208
Male-45-54 years,5637
Male-20-44 years,17589
Male-Less than 20 years,4217
Female-65 years and older,9067
Female-55-64 years,6888
Female-45-54 years,5737
Female-20-44 years,19959
Female-Less than 20 years,4886
"Black or African American, non-Hispanic",707
"Asian or Pacific Islander, non-Hispanic",1425
Hispanic or Latino,6517
Other Race,10213
Unknown,17115
"American Indian or Alaska Native, non-Hispanic",17963
"White, non-Hispanic",34348
