Category,Mohave
Total_doses_administered,163404
Total_people_one_dose,93192
Total_people_complete,77845
Total_doses_ordered,134660
total_pouluation,216985
Male-65 years and older,22091
Male-55-64 years,8743
Male-45-54 years,4569
Male-20-44 years,7731
Male-Less than 20 years,1470
Female-65 years and older,24631
Female-55-64 years,10153
Female-45-54 years,4873
Female-20-44 years,7182
Female-Less than 20 years,1587
"Black or African American, non-Hispanic",667
"American Indian or Alaska Native, non-Hispanic",969
"Asian or Pacific Islander, non-Hispanic",1350
Hispanic or Latino,6750
Unknown,15887
Other Race,16279
"White, non-Hispanic",51290
