Category,Apache
Total_doses_administered,34446
Total_people_one_dose,19251
Total_people_complete,12854
Total_doses_ordered,16900
total_pouluation,71808
Male-65 years and older,1996
Male-55-64 years,1337
Male-45-54 years,1063
Male-20-44 years,2608
Male-Less than 20 years,2563
Female-65 years and older,2104
Female-55-64 years,1467
Female-45-54 years,1064
Female-20-44 years,2398
Female-Less than 20 years,2641
"Asian or Pacific Islander, non-Hispanic",172
"Black or African American, non-Hispanic",294
Unknown,1047
Other Race,1314
Hispanic or Latino,1933
"White, non-Hispanic",3366
"American Indian or Alaska Native, non-Hispanic",11125
