Category,La Paz
Total_doses_administered,18175
Total_people_one_dose,10020
Total_people_complete,8931
Total_doses_ordered,19100
total_pouluation,22085
Male-65 years and older,3178
Male-55-64 years,704
Male-45-54 years,342
Male-20-44 years,602
Male-Less than 20 years,172
Female-65 years and older,3078
Female-55-64 years,866
Female-45-54 years,365
Female-20-44 years,510
Female-Less than 20 years,181
"Black or African American, non-Hispanic",34
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",234
Hispanic or Latino,1107
Other Race,1155
Unknown,2671
"White, non-Hispanic",4741
