Category,Maricopa
Total_doses_administered,2908586
Total_people_one_dose,1661901
Total_people_complete,1434247
Total_doses_ordered,1557479
total_pouluation,4367835
Male-65 years and older,177407
Male-55-64 years,123386
Male-45-54 years,120681
Male-20-44 years,274883
Male-Less than 20 years,71462
Female-65 years and older,230411
Female-55-64 years,142846
Female-45-54 years,134715
Female-20-44 years,299854
Female-Less than 20 years,74501
"American Indian or Alaska Native, non-Hispanic",35416
"Black or African American, non-Hispanic",63403
"Asian or Pacific Islander, non-Hispanic",79110
Unknown,163135
Other Race,255512
Hispanic or Latino,294347
"White, non-Hispanic",770978
