Category,Apache
Total_doses_administered,31228
Total_people_one_dose,17465
Total_people_complete,11468
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1896
Male-55-64 years,1252
Male-45-54 years,954
Male-20-44 years,2248
Male-Less than 20 years,2304
Female-65 years and older,2006
Female-55-64 years,1383
Female-45-54 years,942
Female-20-44 years,2075
Female-Less than 20 years,2395
"Asian or Pacific Islander, non-Hispanic",161
"Black or African American, non-Hispanic",261
Unknown,979
Other Race,1180
Hispanic or Latino,1670
"White, non-Hispanic",3080
"American Indian or Alaska Native, non-Hispanic",10134
