Category,Santa Cruz
Total_doses_administered,67649
Total_people_one_dose,37736
Total_people_complete,34189
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3571
Male-55-64 years,2602
Male-45-54 years,2980
Male-20-44 years,7378
Male-Less than 20 years,2241
Female-65 years and older,4320
Female-55-64 years,2643
Female-45-54 years,2837
Female-20-44 years,6793
Female-Less than 20 years,2303
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",95
Other Race,1999
Unknown,2311
"White, non-Hispanic",4722
Hispanic or Latino,28561
