Category,Maricopa
Total_doses_administered,2969581
Total_people_one_dose,1701084
Total_people_complete,1459188
Total_doses_ordered,1587440
total_pouluation,4367835
Male-65 years and older,178916
Male-55-64 years,125388
Male-45-54 years,123484
Male-20-44 years,283850
Male-Less than 20 years,75808
Female-65 years and older,232266
Female-55-64 years,144738
Female-45-54 years,137559
Female-20-44 years,308756
Female-Less than 20 years,78544
"American Indian or Alaska Native, non-Hispanic",36065
"Black or African American, non-Hispanic",65162
"Asian or Pacific Islander, non-Hispanic",80172
Unknown,168807
Other Race,260434
Hispanic or Latino,305977
"White, non-Hispanic",784467
