Category,Coconino
Total_doses_administered,148971
Total_people_one_dose,81959
Total_people_complete,73455
Total_doses_ordered,97568
total_pouluation,147275
Male-65 years and older,7666
Male-55-64 years,5974
Male-45-54 years,5396
Male-20-44 years,16230
Male-Less than 20 years,3086
Female-65 years and older,8765
Female-55-64 years,6704
Female-45-54 years,5537
Female-20-44 years,18710
Female-Less than 20 years,3811
"Black or African American, non-Hispanic",585
"Asian or Pacific Islander, non-Hispanic",1212
Hispanic or Latino,5705
Other Race,9474
Unknown,16904
"American Indian or Alaska Native, non-Hispanic",17099
"White, non-Hispanic",30980
