Category,Cochise
Total_doses_administered,118895
Total_people_one_dose,67041
Total_people_complete,58697
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10665
Male-55-64 years,5153
Male-45-54 years,3726
Male-20-44 years,9570
Male-Less than 20 years,2534
Female-65 years and older,12611
Female-55-64 years,6185
Female-45-54 years,4303
Female-20-44 years,9580
Female-Less than 20 years,2622
"American Indian or Alaska Native, non-Hispanic",317
"Black or African American, non-Hispanic",1245
"Asian or Pacific Islander, non-Hispanic",1289
Unknown,8976
Other Race,10178
Hispanic or Latino,16217
"White, non-Hispanic",28819
