Category,Pinal
Total_doses_administered,307981
Total_people_one_dose,176487
Total_people_complete,155097
Total_doses_ordered,196918
total_pouluation,455210
Male-65 years and older,29770
Male-55-64 years,13632
Male-45-54 years,12540
Male-20-44 years,28274
Male-Less than 20 years,5308
Female-65 years and older,34126
Female-55-64 years,14567
Female-45-54 years,11293
Female-20-44 years,20992
Female-Less than 20 years,5393
"Asian or Pacific Islander, non-Hispanic",3200
"Black or African American, non-Hispanic",4983
"American Indian or Alaska Native, non-Hispanic",8491
Other Race,18829
Hispanic or Latino,27718
Unknown,35645
"White, non-Hispanic",77621
