Category,Apache
Total_doses_administered,31892
Total_people_one_dose,17932
Total_people_complete,11681
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1912
Male-55-64 years,1268
Male-45-54 years,979
Male-20-44 years,2334
Male-Less than 20 years,2416
Female-65 years and older,2018
Female-55-64 years,1392
Female-45-54 years,968
Female-20-44 years,2132
Female-Less than 20 years,2503
"Asian or Pacific Islander, non-Hispanic",162
"Black or African American, non-Hispanic",271
Unknown,991
Other Race,1198
Hispanic or Latino,1749
"White, non-Hispanic",3124
"American Indian or Alaska Native, non-Hispanic",10437
