Category,Mohave
Total_doses_administered,153180
Total_people_one_dose,88236
Total_people_complete,72650
Total_doses_ordered,126950
total_pouluation,216985
Male-65 years and older,21429
Male-55-64 years,8344
Male-45-54 years,4240
Male-20-44 years,6985
Male-Less than 20 years,1171
Female-65 years and older,23878
Female-55-64 years,9731
Female-45-54 years,4495
Female-20-44 years,6492
Female-Less than 20 years,1315
"Black or African American, non-Hispanic",603
"American Indian or Alaska Native, non-Hispanic",892
"Asian or Pacific Islander, non-Hispanic",1267
Hispanic or Latino,6143
Unknown,14986
Other Race,15766
"White, non-Hispanic",48579
