Category,Santa Cruz
Total_doses_administered,68708
Total_people_one_dose,38516
Total_people_complete,34548
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3588
Male-55-64 years,2611
Male-45-54 years,3007
Male-20-44 years,7531
Male-Less than 20 years,2425
Female-65 years and older,4337
Female-55-64 years,2662
Female-45-54 years,2870
Female-20-44 years,6949
Female-Less than 20 years,2467
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",33
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2012
Unknown,2338
"White, non-Hispanic",4763
Hispanic or Latino,29256
