Category,Navajo
Total_doses_administered,74482
Total_people_one_dose,41888
Total_people_complete,35872
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6777
Male-55-64 years,3506
Male-45-54 years,2467
Male-20-44 years,5212
Male-Less than 20 years,2774
Female-65 years and older,7456
Female-55-64 years,3754
Female-45-54 years,2497
Female-20-44 years,4530
Female-Less than 20 years,2881
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",401
Unknown,2108
Hispanic or Latino,2184
Other Race,8080
"White, non-Hispanic",14032
"American Indian or Alaska Native, non-Hispanic",14868
