Category,Santa Cruz
Total_doses_administered,88838
Total_people_one_dose,46870
Total_people_complete,42653
total_pouluation,46870
Male-65 years and older,4410
Male-55-64 years,3050
Male-45-54 years,3175
Male-20-44 years,8503
Male-Less than 20 years,3501
Female-65 years and older,5300
Female-55-64 years,3295
Female-45-54 years,3362
Female-20-44 years,8462
Female-Less than 20 years,3749
"Black or African American, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",169
Unknown,2908
Other Race,3149
"White, non-Hispanic",6756
Hispanic or Latino,33792
