Category,Navajo
Total_doses_administered,84483
Total_people_one_dose,44231
Total_people_complete,38374
total_pouluation,44231
Male-65 years and older,6948
Male-55-64 years,3402
Male-45-54 years,2489
Male-20-44 years,5351
Male-Less than 20 years,3223
Female-65 years and older,7847
Female-55-64 years,3882
Female-45-54 years,2493
Female-20-44 years,5179
Female-Less than 20 years,3382
"Black or African American, non-Hispanic",185
"Asian or Pacific Islander, non-Hispanic",356
Hispanic or Latino,2265
Unknown,2680
Other Race,7743
"White, non-Hispanic",13821
"American Indian or Alaska Native, non-Hispanic",17181
