Category,Coconino
Total_doses_administered,172826
Total_people_one_dose,87305
Total_people_complete,79525
total_pouluation,87305
Male-65 years and older,9027
Male-55-64 years,6097
Male-45-54 years,5552
Male-20-44 years,16308
Male-Less than 20 years,4185
Female-65 years and older,10226
Female-55-64 years,6894
Female-45-54 years,5684
Female-20-44 years,18572
Female-Less than 20 years,4502
"Black or African American, non-Hispanic",669
"Asian or Pacific Islander, non-Hispanic",1400
Hispanic or Latino,6312
Other Race,10350
Unknown,15345
"American Indian or Alaska Native, non-Hispanic",19053
"White, non-Hispanic",34176
