Category,Yuma
Total_doses_administered,262290
Total_people_one_dose,138349
Total_people_complete,121744
total_pouluation,138349
Male-65 years and older,14945
Male-55-64 years,9747
Male-45-54 years,8706
Male-20-44 years,26039
Male-Less than 20 years,8033
Female-65 years and older,17422
Female-55-64 years,10393
Female-45-54 years,9553
Female-20-44 years,24487
Female-Less than 20 years,8566
"Black or African American, non-Hispanic",693
"Asian or Pacific Islander, non-Hispanic",1052
"American Indian or Alaska Native, non-Hispanic",1058
Other Race,15451
"White, non-Hispanic",28399
Unknown,30407
Hispanic or Latino,61289
