Category,Arizona
Total_doses_administered,8334426
Total_people_complete,377702
total_pouluation,7189020
Total_people_one_dose,4273205
Male-65 years and older,535816
Male-55-64 years,312703
Male-45-54 years,282086
Male-20-44 years,693110
Male-Less than 20 years,189992
Female-65 years and older,656347
Female-55-64 years,356775
Female-45-54 years,304915
Female-20-44 years,723485
Female-Less than 20 years,198410
"Black or African American, non-Hispanic",121285
"Asian or Pacific Islander, non-Hispanic",154514
"American Indian or Alaska Native, non-Hispanic",161995
Unknown,475395
Other Race,681938
Hispanic or Latino,758242
"White, non-Hispanic",1919836
