Category,La Paz
Total_doses_administered,15464
Total_people_one_dose,8191
Total_people_complete,7235
total_pouluation,8191
Male-65 years and older,2258
Male-55-64 years,585
Male-45-54 years,304
Male-20-44 years,618
Male-Less than 20 years,251
Female-65 years and older,2307
Female-55-64 years,686
Female-45-54 years,357
Female-20-44 years,549
Female-Less than 20 years,259
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",86
"American Indian or Alaska Native, non-Hispanic",377
Other Race,1171
Hispanic or Latino,1187
Unknown,1893
"White, non-Hispanic",3445
