Category,Graham
Total_doses_administered,38556
Total_people_one_dose,19761
Total_people_complete,17890
total_pouluation,19761
Male-65 years and older,2337
Male-55-64 years,1540
Male-45-54 years,1393
Male-20-44 years,3409
Male-Less than 20 years,850
Female-65 years and older,2817
Female-55-64 years,1679
Female-45-54 years,1359
Female-20-44 years,3419
Female-Less than 20 years,946
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1522
Hispanic or Latino,3467
Unknown,4204
"American Indian or Alaska Native, non-Hispanic",4741
"White, non-Hispanic",5658
