Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,8334426,39292,172826,134681,38556,8026,48234,15464,4911802,159249,84483,449738,1334602,88838,208643,262290
Total_people_complete,377702,16744,79525,63988,17890,3633,22316,7235,2235307,72961,38374,211395,609240,42653,94729,121744
total_pouluation,7189020,21597,87305,71753,19761,4093,24819,8191,2479204,84466,44231,235068,670357,46870,110161,138349
Total_people_one_dose,4273205,21597,87305,71753,19761,4093,24819,8191,2479204,84466,44231,235068,670357,46870,110161,138349
Male-65 years and older,535816,2292,9027,10551,2337,497,5587,2258,275707,19544,6948,35164,87943,4410,24355,14945
Male-55-64 years,312703,1580,6097,5103,1540,371,2166,585,181969,7817,3402,17646,46103,3050,8743,9747
Male-45-54 years,282086,1202,5552,3959,1393,313,1223,304,175691,4040,2489,16068,39524,3175,4788,8706
Male-20-44 years,693110,2815,16308,10726,3409,763,2293,618,416146,6982,5351,35817,105024,8503,9574,26039
Male-Less than 20 years,189992,2709,4185,3380,850,145,567,251,111817,1454,3223,9630,29433,3501,2233,8033
Female-65 years and older,656347,2687,10226,12542,2817,498,6025,2307,345286,21980,7847,40753,113963,5300,30196,17422
Female-55-64 years,356775,1687,6894,6187,1679,318,2509,686,205238,9188,3882,19944,55456,3295,11161,10393
Female-45-54 years,304915,1206,5684,4465,1359,313,1360,357,191196,4584,2493,16381,45006,3362,5703,9553
Female-20-44 years,723485,2630,18572,11219,3419,724,2400,549,445869,7056,5179,33271,115383,8462,9723,24487
Female-Less than 20 years,198410,2781,4502,3527,946,149,631,259,115872,1648,3382,9649,31089,3749,2537,8566
"Black or African American, non-Hispanic",121285,48,669,1374,80,42,78,32,89813,523,185,8066,13644,48,487,693
"Asian or Pacific Islander, non-Hispanic",154514,110,1400,1336,89,41,200,86,117912,1199,356,4579,18967,169,1248,1052
"American Indian or Alaska Native, non-Hispanic",161995,14939,19053,309,4741,103,2388,377,45627,640,17181,8262,13102,48,1234,1058
Unknown,475395,1511,15345,9637,4204,310,5107,1893,195747,13321,2680,32351,83861,2908,24625,30407
Other Race,681938,1235,10350,11469,1522,110,4411,1171,446479,14979,7743,30755,93813,3149,17152,15451
Hispanic or Latino,758242,493,6312,17866,3467,1826,1337,1187,401045,6497,2265,37042,154056,33792,7308,61289
"White, non-Hispanic",1919836,3261,34176,29762,5658,1661,11298,3445,1182581,47307,13821,114013,292914,6756,58107,28399
