Category,Yavapai
Total_doses_administered,208643
Total_people_one_dose,110161
Total_people_complete,94729
total_pouluation,110161
Male-65 years and older,24355
Male-55-64 years,8743
Male-45-54 years,4788
Male-20-44 years,9574
Male-Less than 20 years,2233
Female-65 years and older,30196
Female-55-64 years,11161
Female-45-54 years,5703
Female-20-44 years,9723
Female-Less than 20 years,2537
"Black or African American, non-Hispanic",487
"American Indian or Alaska Native, non-Hispanic",1234
"Asian or Pacific Islander, non-Hispanic",1248
Hispanic or Latino,7308
Other Race,17152
Unknown,24625
"White, non-Hispanic",58107
