Category,Cochise
Total_doses_administered,134681
Total_people_one_dose,71753
Total_people_complete,63988
total_pouluation,71753
Male-65 years and older,10551
Male-55-64 years,5103
Male-45-54 years,3959
Male-20-44 years,10726
Male-Less than 20 years,3380
Female-65 years and older,12542
Female-55-64 years,6187
Female-45-54 years,4465
Female-20-44 years,11219
Female-Less than 20 years,3527
"American Indian or Alaska Native, non-Hispanic",309
"Asian or Pacific Islander, non-Hispanic",1336
"Black or African American, non-Hispanic",1374
Unknown,9637
Other Race,11469
Hispanic or Latino,17866
"White, non-Hispanic",29762
