Category,value
Hospitalizations,80609
Day,
Day_pct,
Apache,1104
Cochise,904
Coconino,1675
Gila,860
Graham,412
Greenlee,59
La Paz,312
Maricopa,50804
Mohave,2694
Navajo,2081
Pima,8737
Pinal,5362
Santa Cruz,621
Yavapai,2451
Yuma,2533
0_5,
Less than 20 years,3020
20-44 years,17191
45-54 years,11424
55-64 years,14782
65 years and older,34150
Male,42301
Female,38266
Missing,
"White, non-Hispanic",38665
Hispanic or Latino,25311
"American Indian or Alaska Native, non-Hispanic",5759
"Black or African American, non-Hispanic",3986
"Asian or Pacific Islander, non-Hispanic",1345
Other Race,3483
