Category,Greenlee
Total_doses_administered,8026
Total_people_one_dose,4093
Total_people_complete,3633
total_pouluation,4093
Male-65 years and older,497
Male-55-64 years,371
Male-45-54 years,313
Male-20-44 years,763
Male-Less than 20 years,145
Female-65 years and older,498
Female-55-64 years,318
Female-45-54 years,313
Female-20-44 years,724
Female-Less than 20 years,149
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",42
"American Indian or Alaska Native, non-Hispanic",103
Other Race,110
Unknown,310
"White, non-Hispanic",1661
Hispanic or Latino,1826
