Category,Maricopa
Total_doses_administered,4911802
Total_people_one_dose,2479204
Total_people_complete,2235307
total_pouluation,2479204
Male-65 years and older,275707
Male-55-64 years,181969
Male-45-54 years,175691
Male-20-44 years,416146
Male-Less than 20 years,111817
Female-65 years and older,345286
Female-55-64 years,205238
Female-45-54 years,191196
Female-20-44 years,445869
Female-Less than 20 years,115872
"American Indian or Alaska Native, non-Hispanic",45627
"Black or African American, non-Hispanic",89813
"Asian or Pacific Islander, non-Hispanic",117912
Unknown,195747
Hispanic or Latino,401045
Other Race,446479
"White, non-Hispanic",1182581
