,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2197376,551733,9968,34891,62818,19448,7530,5723,7007,837724,39719,23958,316522,94556,16803,81520,54153
Total_people_one_dose,1412740,359273,6268,24551,43006,14019,4711,3498,4549,545569,26576,16174,202271,63800,10871,51514,36090
Total_people_complete,800033,,,,,,,,,,,,,,,,
Total_doses_ordered,2287600,,,,,,,,,,,,,,,,
65 years and older,422927,,,,,,,,,,,,,,,,
55-64 years,117719,,,,,,,,,,,,,,,,
45-54 years,86362,,,,,,,,,,,,,,,,
20-44 years,181506,,,,,,,,,,,,,,,,
Less than 20 years,6827,,,,,,,,,,,,,,,,
65 years and older,545569,,,,,,,,,,,,,,,,
55-64 years,80237,,,,,,,,,,,,,,,,
45-54 years,56369,,,,,,,,,,,,,,,,
20-44 years,111841,,,,,,,,,,,,,,,,
Less than 20 years,4382,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3257,,,,,,,,,,,,,,,,
Black or African American,22663,,,,,,,,,,,,,,,,
Asian,32217,,,,,,,,,,,,,,,,
American Indian or Alaska Native,39613,,,,,,,,,,,,,,,,
Hispanic or Latino,119534,,,,,,,,,,,,,,,,
Other Race/Unknown,503538,,,,,,,,,,,,,,,,
White,692613,,,,,,,,,,,,,,,,
