,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2748100,707842,11850,46006,78680,25092,9255,6590,9290,1036606,52456,28682,385748,118656,22036,101607,71541
Total_people_one_dose,1730152,461945,7042,30388,48661,16086,5679,3735,6003,657204,35514,18705,241856,76412,13609,59651,47662
Total_people_complete,1074712,,,,,,,,,,,,,,,,
Total_doses_ordered,2501430,,,,,,,,,,,,,,,,
65 years and older,480461,,,,,,,,,,,,,,,,
55-64 years,184924,,,,,,,,,,,,,,,,
45-54 years,101114,,,,,,,,,,,,,,,,
20-44 years,210160,,,,,,,,,,,,,,,,
Less than 20 years,8914,,,,,,,,,,,,,,,,
65 years and older,3735,,,,,,,,,,,,,,,,
55-64 years,140659,,,,,,,,,,,,,,,,
45-54 years,69557,,,,,,,,,,,,,,,,
20-44 years,137859,,,,,,,,,,,,,,,,
Less than 20 years,5903,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",29461,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",45207,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",47711,,,,,,,,,,,,,,,,
Hispanic or Latino,158552,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",289117,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",317650,,,,,,,,,,,,,,,,
"White, non-Hispanic",842819,,,,,,,,,,,,,,,,
