Category,Santa Cruz
Total_doses_administered,59931
Total_people_one_dose,33019
Total_people_complete,29367
Total_doses_ordered,48042
total_pouluation,53161
Male-65 years and older,3480
Male-55-64 years,2444
Male-45-54 years,2756
Male-20-44 years,5968
Male-Less than 20 years,1771
Female-65 years and older,4204
Female-55-64 years,2502
Female-45-54 years,2647
Female-20-44 years,5400
Female-Less than 20 years,1779
"American Indian or Alaska Native, non-Hispanic",0.0004239983040068
"Black or African American, non-Hispanic",0.0007268542354402
"Asian or Pacific Islander, non-Hispanic",0.0026651321966141
Other Race,0.0383112753263273
Unknown,0.0562403464671856
"White, non-Hispanic",0.1350131742330174
Hispanic or Latino,0.7666192192374088
