Category,La Paz
Total_doses_administered,16616
Total_people_one_dose,9133
Total_people_complete,8144
Total_doses_ordered,19000
total_pouluation,22085
Male-65 years and older,3046
Male-55-64 years,654
Male-45-54 years,289
Male-20-44 years,445
Male-Less than 20 years,90
Female-65 years and older,2946
Female-55-64 years,818
Female-45-54 years,325
Female-20-44 years,415
Female-Less than 20 years,91
"Black or African American, non-Hispanic",0.0024088470382131
"Asian or Pacific Islander, non-Hispanic",0.0073360341618307
"American Indian or Alaska Native, non-Hispanic",0.0157669987955765
Hispanic or Latino,0.0975583050476295
Other Race,0.1147487134566955
Unknown,0.2754845067338224
"White, non-Hispanic",0.4866965947662324
