Category,Arizona
Total_doses_administered,10835107
Total_people_complete,4237937
total_pouluation,7189020
Total_people_one_dose,4971598
Male-65 years and older,593610
Male-55-64 years,344411
Male-45-54 years,312678
Male-20-44 years,789490
Male-Less than 20 years,317385
Female-65 years and older,719979
Female-55-64 years,391069
Female-45-54 years,336516
Female-20-44 years,824798
Female-Less than 20 years,321782
"Black or African American, non-Hispanic",153251
"Asian or Pacific Islander, non-Hispanic",191057
"American Indian or Alaska Native, non-Hispanic",224071
Unknown,447676
Other Race,693458
Hispanic or Latino,973015
"White, non-Hispanic",2289070
