Category,Yavapai
Total_doses_administered,283841
Total_people_one_dose,129058
Total_people_complete,109697
total_pouluation,129058
Male-65 years and older,28567
Male-55-64 years,10074
Male-45-54 years,5520
Male-20-44 years,11366
Male-Less than 20 years,3341
Female-65 years and older,34479
Female-55-64 years,12690
Female-45-54 years,6573
Female-20-44 years,11524
Female-Less than 20 years,3698
"Black or African American, non-Hispanic",653
"American Indian or Alaska Native, non-Hispanic",1555
"Asian or Pacific Islander, non-Hispanic",1666
Hispanic or Latino,9311
Unknown,19035
Other Race,19058
"White, non-Hispanic",77780
