Category,Coconino
Total_doses_administered,214468
Total_people_one_dose,94246
Total_people_complete,83429
total_pouluation,94246
Male-65 years and older,8473
Male-55-64 years,6060
Male-45-54 years,5795
Male-20-44 years,17629
Male-Less than 20 years,6911
Female-65 years and older,9477
Female-55-64 years,6747
Female-45-54 years,5778
Female-20-44 years,20097
Female-Less than 20 years,7101
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1736
Hispanic or Latino,7681
Other Race,8083
Unknown,11319
"American Indian or Alaska Native, non-Hispanic",24164
"White, non-Hispanic",40432
