Category,Apache
Total_doses_administered,78474
Total_people_one_dose,34947
Total_people_complete,29996
total_pouluation,34947
Male-65 years and older,3130
Male-55-64 years,2340
Male-45-54 years,1913
Male-20-44 years,4834
Male-Less than 20 years,4782
Female-65 years and older,3802
Female-55-64 years,2546
Female-45-54 years,1963
Female-20-44 years,4740
Female-Less than 20 years,4886
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",165
Hispanic or Latino,659
Unknown,1230
Other Race,1248
"White, non-Hispanic",3932
"American Indian or Alaska Native, non-Hispanic",27642
