Category,Pinal
Total_doses_administered,541587
Total_people_one_dose,249090
Total_people_complete,218907
total_pouluation,249090
Male-65 years and older,39231
Male-55-64 years,17511
Male-45-54 years,15348
Male-20-44 years,36996
Male-Less than 20 years,12925
Female-65 years and older,44732
Female-55-64 years,20061
Female-45-54 years,15618
Female-20-44 years,33267
Female-Less than 20 years,12786
"Asian or Pacific Islander, non-Hispanic",4979
"Black or African American, non-Hispanic",9268
"American Indian or Alaska Native, non-Hispanic",10660
Other Race,29637
Unknown,30186
Hispanic or Latino,42422
"White, non-Hispanic",121938
