Category,La Paz
Total_doses_administered,19168
Total_people_one_dose,9346
Total_people_complete,7773
total_pouluation,9346
Male-65 years and older,2529
Male-55-64 years,655
Male-45-54 years,335
Male-20-44 years,720
Male-Less than 20 years,419
Female-65 years and older,2502
Female-55-64 years,765
Female-45-54 years,389
Female-20-44 years,629
Female-Less than 20 years,385
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",567
Other Race,1213
Hispanic or Latino,1416
Unknown,1944
"White, non-Hispanic",4072
