Category,Maricopa
Total_doses_administered,6310986
Total_people_one_dose,2836402
Total_people_complete,2495736
total_pouluation,2836402
Male-65 years and older,299534
Male-55-64 years,197805
Male-45-54 years,193548
Male-20-44 years,468324
Male-Less than 20 years,178509
Female-65 years and older,373617
Female-55-64 years,221617
Female-45-54 years,209163
Female-20-44 years,500276
Female-Less than 20 years,179725
"American Indian or Alaska Native, non-Hispanic",55782
"Black or African American, non-Hispanic",112436
"Asian or Pacific Islander, non-Hispanic",144750
Unknown,192373
Other Race,445427
Hispanic or Latino,499259
"White, non-Hispanic",1386375
