Category,Graham
Total_doses_administered,42563
Total_people_one_dose,19246
Total_people_complete,17114
total_pouluation,19246
Male-65 years and older,1996
Male-55-64 years,1367
Male-45-54 years,1314
Male-20-44 years,3272
Male-Less than 20 years,1310
Female-65 years and older,2478
Female-55-64 years,1512
Female-45-54 years,1246
Female-20-44 years,3310
Female-Less than 20 years,1430
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,868
Hispanic or Latino,2867
Unknown,3825
"White, non-Hispanic",5680
"American Indian or Alaska Native, non-Hispanic",5857
