Category,Cochise
Total_doses_administered,192087
Total_people_one_dose,91454
Total_people_complete,75692
total_pouluation,91454
Male-65 years and older,12062
Male-55-64 years,6027
Male-45-54 years,4833
Male-20-44 years,13055
Male-Less than 20 years,7301
Female-65 years and older,14085
Female-55-64 years,7116
Female-45-54 years,5431
Female-20-44 years,13845
Female-Less than 20 years,7594
"American Indian or Alaska Native, non-Hispanic",393
"Asian or Pacific Islander, non-Hispanic",1599
"Black or African American, non-Hispanic",1716
Unknown,11104
Other Race,12736
Hispanic or Latino,28612
"White, non-Hispanic",35294
