Category,Graham
Total_doses_administered,19089
Total_people_one_dose,10429
Total_people_complete,9548
Total_doses_ordered,18570
total_pouluation,38476
Male-65 years and older,1582
Male-55-64 years,908
Male-45-54 years,772
Male-20-44 years,1767
Male-Less than 20 years,157
Female-65 years and older,1975
Female-55-64 years,1039
Female-45-54 years,683
Female-20-44 years,1337
Female-Less than 20 years,199
"Asian or Pacific Islander, non-Hispanic",0.0047943235209512
"Black or African American, non-Hispanic",0.0058490746955605
"American Indian or Alaska Native, non-Hispanic",0.0789145651548567
Other Race,0.0793939975069518
Hispanic or Latino,0.1612810432447982
Unknown,0.3343561223511363
"White, non-Hispanic",0.3354108735257455
