Category,Navajo
Total_doses_administered,106716
Total_people_one_dose,51427
Total_people_complete,41605
total_pouluation,51427
Male-65 years and older,7563
Male-55-64 years,3683
Male-45-54 years,2822
Male-20-44 years,6106
Male-Less than 20 years,4765
Female-65 years and older,8526
Female-55-64 years,4208
Female-45-54 years,2835
Female-20-44 years,6014
Female-Less than 20 years,4866
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",383
Unknown,2476
Hispanic or Latino,2683
Other Race,6449
"White, non-Hispanic",16493
"American Indian or Alaska Native, non-Hispanic",22728
