Category,Cochise
Total_doses_administered,177217
Total_people_one_dose,85641
Total_people_complete,68978
total_pouluation,85641
Male-65 years and older,11596
Male-55-64 years,5747
Male-45-54 years,4569
Male-20-44 years,12205
Male-Less than 20 years,6306
Female-65 years and older,13583
Female-55-64 years,6833
Female-45-54 years,5126
Female-20-44 years,12949
Female-Less than 20 years,6624
"American Indian or Alaska Native, non-Hispanic",377
"Asian or Pacific Islander, non-Hispanic",1543
"Black or African American, non-Hispanic",1658
Unknown,10281
Other Race,12265
Hispanic or Latino,25388
"White, non-Hispanic",34129
