Category,Yuma
Total_doses_administered,335110
Total_people_one_dose,165964
Total_people_complete,129984
total_pouluation,165964
Male-65 years and older,17732
Male-55-64 years,10972
Male-45-54 years,9494
Male-20-44 years,29195
Male-Less than 20 years,13752
Female-65 years and older,20303
Female-55-64 years,11789
Female-45-54 years,10449
Female-20-44 years,27508
Female-Less than 20 years,14126
"Black or African American, non-Hispanic",873
"American Indian or Alaska Native, non-Hispanic",1212
"Asian or Pacific Islander, non-Hispanic",1274
Other Race,19970
Unknown,30220
"White, non-Hispanic",36848
Hispanic or Latino,75567
