Category,Mohave
Total_doses_administered,195906
Total_people_one_dose,93417
Total_people_complete,78080
total_pouluation,93417
Male-65 years and older,21633
Male-55-64 years,8495
Male-45-54 years,4430
Male-20-44 years,7878
Male-Less than 20 years,2001
Female-65 years and older,23687
Female-55-64 years,9818
Female-45-54 years,4984
Female-20-44 years,8102
Female-Less than 20 years,2209
"Black or African American, non-Hispanic",655
"American Indian or Alaska Native, non-Hispanic",784
"Asian or Pacific Islander, non-Hispanic",1440
Hispanic or Latino,7679
Unknown,11678
Other Race,14738
"White, non-Hispanic",56443
