Category,Arizona
Total_doses_administered,10350122
Total_people_complete,4025304
total_pouluation,7189020
Total_people_one_dose,4854342
Male-65 years and older,586261
Male-55-64 years,340315
Male-45-54 years,307495
Male-20-44 years,770268
Male-Less than 20 years,294545
Female-65 years and older,712217
Female-55-64 years,386850
Female-45-54 years,330974
Female-20-44 years,805533
Female-Less than 20 years,299997
"Black or African American, non-Hispanic",148609
"Asian or Pacific Islander, non-Hispanic",186679
"American Indian or Alaska Native, non-Hispanic",211100
Unknown,437375
Other Race,686595
Hispanic or Latino,926713
"White, non-Hispanic",2257271
