Category,La Paz
Total_doses_administered,18932
Total_people_one_dose,9280
Total_people_complete,7628
total_pouluation,9280
Male-65 years and older,2513
Male-55-64 years,652
Male-45-54 years,336
Male-20-44 years,702
Male-Less than 20 years,395
Female-65 years and older,2499
Female-55-64 years,764
Female-45-54 years,387
Female-20-44 years,627
Female-Less than 20 years,386
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",555
Other Race,1215
Hispanic or Latino,1388
Unknown,1920
"White, non-Hispanic",4066
