Category,Santa Cruz
Total_doses_administered,121992
Total_people_one_dose,61867
Total_people_complete,45931
total_pouluation,61867
Male-65 years and older,4914
Male-55-64 years,3485
Male-45-54 years,3657
Male-20-44 years,9635
Male-Less than 20 years,7919
Female-65 years and older,5954
Female-55-64 years,3886
Female-45-54 years,4026
Female-20-44 years,10194
Female-Less than 20 years,8104
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",191
Other Race,3654
Unknown,5004
"White, non-Hispanic",7942
Hispanic or Latino,44957
