Category,Pinal
Total_doses_administered,278895
Total_people_one_dose,157415
Total_people_complete,138930
Total_doses_ordered,196125
total_pouluation,455210
Male-65 years and older,28792
Male-55-64 years,12635
Male-45-54 years,11058
Male-20-44 years,23011
Male-Less than 20 years,3324
Female-65 years and older,33055
Female-55-64 years,13697
Female-45-54 years,10019
Female-20-44 years,17666
Female-Less than 20 years,3580
"Asian or Pacific Islander, non-Hispanic",0.0183400565384493
"Black or African American, non-Hispanic",0.0259251024362354
"American Indian or Alaska Native, non-Hispanic",0.0470222024584697
Other Race,0.1094749547374774
Hispanic or Latino,0.1486389480036845
Unknown,0.2006733792840581
"White, non-Hispanic",0.4499253565416257
