Category,Yuma
Total_doses_administered,186375
Total_people_one_dose,104619
Total_people_complete,89248
Total_doses_ordered,134862
total_pouluation,229957
Male-65 years and older,15346
Male-55-64 years,8141
Male-45-54 years,6964
Male-20-44 years,18934
Male-Less than 20 years,2603
Female-65 years and older,17401
Female-55-64 years,8726
Female-45-54 years,7225
Female-20-44 years,16065
Female-Less than 20 years,2906
"Black or African American, non-Hispanic",0.005352756191514
"Asian or Pacific Islander, non-Hispanic",0.0060505261950506
"American Indian or Alaska Native, non-Hispanic",0.0133245395195901
Other Race,0.0911211156673262
"White, non-Hispanic",0.1841156960016823
Unknown,0.2987793804184709
Hispanic or Latino,0.401255986006366
